median_house_value,total_bedrooms,population,house_holds,median_income,rooms_per_househole,population_per_househole,bedrooms_ratio
0.541,242.0,927.0,238.0,2.6176,5.36,3.89,0.19
0.621,358.0,1347.0,316.0,2.4137,5.39,4.26,0.21
0.675,10.0,46.0,13.0,4.35,4.62,3.54,0.17
0.739,81.0,233.0,75.0,2.4167,4.73,3.11,0.23
0.53,391.0,1369.0,368.0,1.25,4.67,3.72,0.23
0.535,291.0,1007.0,313.0,2.0043,4.92,3.22,0.19
0.528,221.0,789.0,183.0,1.5625,5.61,4.31,0.22
0.485,336.0,1171.0,319.0,1.0481,4.18,3.67,0.25
0.578,417.0,1383.0,375.0,1.0472,5.09,3.69,0.22
0.495,363.0,1210.0,341.0,1.3922,5.08,3.55,0.21
0.513,304.0,962.0,282.0,1.3304,5.65,3.41,0.19
0.525,57.0,178.0,66.0,1.2404,4.76,2.7,0.18
0.344,121.0,530.0,115.0,2.1458,3.08,4.61,0.34
0.441,322.0,927.0,277.0,1.3047,5.64,3.35,0.21
0.453,394.0,1233.0,383.0,1.3587,5.19,3.22,0.2
0.618,1250.0,5034.0,1224.0,2.1905,4.8,4.11,0.21
0.444,441.0,1530.0,391.0,1.5611,4.46,3.91,0.25
0.606,265.0,1035.0,232.0,2.875,5.34,4.46,0.21
0.498,353.0,1543.0,372.0,1.4577,3.98,4.15,0.24
0.508,272.0,1056.0,279.0,2.3269,4.49,3.78,0.22
0.585,842.0,2863.0,729.0,2.1304,5.45,3.93,0.21
0.608,859.0,4179.0,881.0,1.3343,3.69,4.74,0.26
0.526,282.0,854.0,267.0,1.8723,5.04,3.2,0.21
0.455,363.0,1449.0,341.0,1.4419,4.55,4.25,0.23
0.521,539.0,1685.0,536.0,1.6325,4.27,3.14,0.24
0.5,272.0,946.0,261.0,2.0536,4.74,3.62,0.22
0.931,303.0,965.0,316.0,4.7463,6.09,3.05,0.16
1.203,614.0,1365.0,525.0,2.7813,5.31,2.6,0.22
0.625,598.0,1563.0,538.0,1.5449,4.53,2.91,0.25
0.931,409.0,1347.0,405.0,4.0027,5.79,3.33,0.17
1.179,417.0,1219.0,460.0,4.9196,6.18,2.65,0.15
1.717,349.0,1005.0,380.0,7.2211,6.41,2.64,0.14
1.216,385.0,911.0,405.0,3.5128,5.18,2.25,0.18
1.083,79.0,249.0,71.0,4.4583,7.83,3.51,0.14
1.538,140.0,453.0,149.0,2.6875,5.66,3.04,0.17
2.25,647.0,1587.0,551.0,1.4007,4.47,2.88,0.26
0.659,491.0,1116.0,424.0,1.4646,4.51,2.63,0.26
1.272,246.0,766.0,232.0,6.8162,7.38,3.3,0.14
0.895,1005.0,1660.0,991.0,0.6991,2.67,1.68,0.38
0.542,428.0,678.0,394.0,2.2437,4.11,1.72,0.26
1.514,585.0,1586.0,560.0,5.2608,7.09,2.83,0.15
0.916,463.0,1350.0,424.0,3.0179,5.79,3.18,0.19
0.704,456.0,1190.0,403.0,2.0294,5.57,2.95,0.2
0.493,205.0,681.0,207.0,1.7986,3.65,3.29,0.27
0.883,269.0,836.0,237.0,2.1563,6.04,3.53,0.19
0.742,312.0,836.0,277.0,1.8355,4.49,3.02,0.25
0.923,449.0,1464.0,450.0,3.9211,5.58,3.25,0.18
1.104,181.0,620.0,174.0,3.4107,5.95,3.56,0.17
0.58,422.0,1344.0,414.0,1.6607,4.66,3.25,0.22
0.653,256.0,638.0,239.0,3.0139,5.18,2.67,0.21
0.895,463.0,1257.0,418.0,2.9013,6.09,3.01,0.18
0.612,229.0,616.0,211.0,1.6602,3.95,2.92,0.27
0.928,365.0,1026.0,333.0,3.5781,6.25,3.08,0.18
0.926,296.0,1058.0,287.0,3.3438,5.4,3.69,0.19
0.667,432.0,1326.0,416.0,2.1691,5.32,3.19,0.2
0.684,240.0,706.0,211.0,2.77,5.81,3.35,0.2
0.96,312.0,1008.0,321.0,2.2466,5.28,3.14,0.18
0.742,423.0,1184.0,407.0,1.7692,5.56,2.91,0.19
0.813,93.0,302.0,93.0,2.6146,5.63,3.25,0.18
0.679,316.0,984.0,300.0,2.0658,5.28,3.28,0.2
0.783,269.0,867.0,271.0,2.5809,5.48,3.2,0.18
0.967,190.0,537.0,182.0,3.5375,6.54,2.95,0.16
0.72,473.0,1397.0,417.0,1.4817,4.44,3.35,0.26
0.673,772.0,1738.0,634.0,1.976,5.19,2.74,0.23
0.488,209.0,741.0,213.0,2.0781,4.8,3.48,0.2
0.571,300.0,774.0,271.0,1.575,4.38,2.86,0.25
0.556,183.0,607.0,181.0,1.3929,3.66,3.35,0.28
0.679,388.0,834.0,405.0,2.9306,5.08,2.06,0.19
0.542,486.0,1284.0,426.0,2.2029,5.68,3.01,0.2
0.551,356.0,855.0,353.0,1.7636,5.18,2.42,0.19
0.669,399.0,1107.0,375.0,1.8971,5.26,2.95,0.2
0.685,563.0,924.0,542.0,1.4028,4.05,1.7,0.26
0.692,437.0,764.0,390.0,1.6429,4.75,1.96,0.24
0.584,449.0,1156.0,418.0,1.7298,4.28,2.77,0.25
0.571,352.0,1049.0,357.0,2.4375,5.02,2.94,0.2
0.784,418.0,832.0,406.0,2.3952,5.48,2.05,0.19
0.561,260.0,635.0,239.0,1.175,4.96,2.66,0.22
0.45,97.0,530.0,96.0,1.0,3.93,5.52,0.26
0.59,593.0,1368.0,551.0,1.5273,4.76,2.48,0.23
0.613,498.0,1361.0,465.0,2.1055,5.18,2.93,0.21
0.513,323.0,949.0,325.0,1.7344,4.38,2.92,0.23
0.52,307.0,982.0,278.0,1.2937,4.23,3.53,0.26
0.466,512.0,1925.0,444.0,1.4635,4.66,4.34,0.25
0.498,322.0,1063.0,342.0,1.75,3.93,3.11,0.24
0.506,1003.0,3786.0,917.0,1.4766,4.14,4.13,0.26
0.534,383.0,1407.0,382.0,2.19,4.21,3.68,0.24
0.455,417.0,1567.0,366.0,1.2545,4.31,4.28,0.26
0.491,519.0,2219.0,505.0,1.2101,3.98,4.39,0.26
0.56,294.0,781.0,272.0,1.869,5.97,2.87,0.18
0.546,413.0,1492.0,422.0,1.5174,4.61,3.54,0.21
0.494,526.0,1676.0,481.0,1.6548,4.88,3.48,0.22
0.691,448.0,1194.0,444.0,1.3029,4.81,2.69,0.21
0.628,280.0,811.0,281.0,1.8667,4.72,2.89,0.21
0.701,235.0,729.0,252.0,3.3125,5.77,2.89,0.16
0.483,412.0,1680.0,418.0,1.7083,4.35,4.02,0.23
0.508,563.0,2031.0,491.0,1.8641,4.55,4.14,0.25
0.596,418.0,1042.0,397.0,2.9545,5.63,2.62,0.19
0.556,1210.0,4749.0,1067.0,1.2065,4.59,4.45,0.25
0.513,351.0,1098.0,347.0,1.8958,5.01,3.16,0.2
0.542,294.0,852.0,297.0,1.9955,5.1,2.87,0.19
0.554,460.0,1290.0,477.0,2.5111,4.89,2.7,0.2
0.587,470.0,1621.0,438.0,1.7994,4.78,3.7,0.22
0.528,216.0,842.0,219.0,1.4766,4.16,3.84,0.24
0.598,524.0,1887.0,489.0,1.4107,4.25,3.86,0.25
0.445,497.0,2002.0,470.0,1.3278,4.41,4.26,0.24
0.69,1370.0,3573.0,1260.0,2.3006,5.08,2.84,0.21
0.747,993.0,2190.0,888.0,2.6611,5.44,2.47,0.21
0.713,282.0,886.0,311.0,3.1,4.98,2.85,0.18
0.869,282.0,869.0,337.0,3.9514,5.02,2.58,0.17
0.647,1551.0,5561.0,1435.0,1.6073,4.32,3.88,0.25
0.679,321.0,901.0,303.0,3.1719,5.76,2.97,0.18
0.875,779.0,1819.0,731.0,2.4956,4.96,2.49,0.21
0.883,1670.0,4476.0,1514.0,2.4728,5.35,2.96,0.21
0.72,527.0,1392.0,521.0,2.3108,5.13,2.67,0.2
0.877,303.0,888.0,314.0,3.8088,5.63,2.83,0.17
0.82,323.0,966.0,355.0,3.6681,5.33,2.72,0.17
0.759,1384.0,2487.0,1243.0,2.1461,4.11,2.0,0.27
0.746,538.0,1197.0,510.0,3.1417,4.66,2.35,0.23
0.788,526.0,1338.0,518.0,2.1653,4.63,2.58,0.22
0.857,689.0,1340.0,588.0,3.1953,5.18,2.28,0.23
0.847,366.0,1259.0,367.0,3.9338,5.6,3.43,0.18
0.814,267.0,861.0,293.0,3.25,4.83,2.94,0.19
0.55,290.0,662.0,284.0,2.0536,3.95,2.33,0.26
0.664,321.0,1186.0,360.0,2.6932,4.85,3.29,0.18
0.728,156.0,646.0,166.0,3.0,5.27,3.89,0.18
0.715,442.0,1047.0,450.0,2.625,4.73,2.33,0.21
0.692,249.0,781.0,260.0,3.7578,5.06,3.0,0.19
0.875,564.0,1194.0,482.0,2.6767,4.51,2.48,0.26
0.73,939.0,2362.0,862.0,2.9406,5.12,2.74,0.21
0.769,482.0,1375.0,518.0,2.5737,4.69,2.65,0.2
0.704,399.0,1005.0,392.0,2.6726,5.01,2.56,0.2
0.743,220.0,474.0,242.0,2.4405,4.67,1.96,0.19
0.813,197.0,508.0,198.0,2.3333,5.78,2.57,0.17
0.707,947.0,2254.0,882.0,2.2467,4.59,2.56,0.23
0.723,466.0,1227.0,474.0,2.785,5.29,2.59,0.19
0.602,814.0,2142.0,816.0,2.1439,4.66,2.63,0.21
0.647,658.0,1441.0,625.0,2.0564,4.9,2.31,0.21
0.673,779.0,1994.0,786.0,2.5434,4.6,2.54,0.22
0.677,284.0,609.0,296.0,1.9375,4.77,2.06,0.2
0.619,705.0,2669.0,655.0,1.2176,3.9,4.07,0.28
0.581,256.0,666.0,240.0,2.3562,5.48,2.78,0.19
0.707,455.0,1143.0,438.0,1.9784,4.99,2.61,0.21
0.602,410.0,1000.0,397.0,2.0357,4.06,2.52,0.25
0.876,512.0,1114.0,486.0,3.8105,6.1,2.29,0.17
0.73,374.0,737.0,338.0,2.2614,5.38,2.18,0.21
0.591,462.0,1129.0,415.0,2.319,5.37,2.72,0.21
0.587,502.0,1144.0,471.0,2.3967,4.93,2.43,0.22
0.899,371.0,839.0,367.0,3.5972,6.22,2.29,0.16
0.722,314.0,705.0,300.0,3.15,5.83,2.35,0.18
0.789,329.0,741.0,331.0,2.5804,5.45,2.24,0.18
0.85,395.0,890.0,375.0,3.4265,6.24,2.37,0.17
0.834,364.0,796.0,335.0,3.625,5.87,2.38,0.19
0.696,289.0,812.0,282.0,2.6127,4.86,2.88,0.21
0.713,274.0,646.0,296.0,3.0568,4.87,2.18,0.19
0.656,468.0,1117.0,442.0,2.9081,5.1,2.53,0.21
0.681,615.0,1705.0,570.0,2.4286,5.03,2.99,0.21
0.716,503.0,1190.0,425.0,2.625,5.1,2.8,0.23
0.803,640.0,1660.0,639.0,2.8359,4.95,2.6,0.2
0.802,548.0,1718.0,551.0,3.6522,5.22,3.12,0.19
0.767,419.0,1014.0,389.0,3.0938,4.97,2.61,0.22
0.804,705.0,2179.0,694.0,3.7821,5.51,3.14,0.18
0.845,1114.0,3406.0,1115.0,3.4213,5.47,3.05,0.18
0.797,684.0,1454.0,545.0,2.7857,5.68,2.67,0.22
0.747,490.0,1274.0,499.0,2.9853,4.47,2.55,0.22
0.813,314.0,620.0,283.0,2.0446,4.04,2.19,0.27
0.832,344.0,847.0,295.0,2.9315,5.12,2.87,0.23
0.801,450.0,845.0,354.0,1.8214,5.84,2.39,0.22
0.811,245.0,608.0,240.0,2.8194,4.76,2.53,0.21
0.745,323.0,919.0,316.0,2.875,5.22,2.91,0.2
1.061,332.0,1066.0,319.0,3.3125,6.18,3.34,0.17
1.264,335.0,1152.0,313.0,4.1719,6.35,3.68,0.17
1.198,243.0,702.0,230.0,3.6204,6.18,3.05,0.17
0.896,285.0,928.0,255.0,2.9808,5.67,3.64,0.2
0.906,348.0,1093.0,302.0,2.3194,5.78,3.62,0.2
0.69,416.0,1341.0,360.0,1.7,5.61,3.73,0.21
1.125,251.0,896.0,260.0,3.4861,5.59,3.45,0.17
0.708,370.0,1168.0,358.0,2.6852,5.31,3.26,0.19
0.718,730.0,2298.0,721.0,1.6168,4.41,3.19,0.23
0.578,422.0,1559.0,374.0,1.8299,5.24,4.17,0.22
0.832,251.0,820.0,276.0,3.6,4.85,2.97,0.19
0.604,237.0,736.0,249.0,1.8,3.94,2.96,0.24
0.882,502.0,1295.0,441.0,3.087,5.96,2.94,0.19
1.125,214.0,620.0,199.0,3.4297,6.2,3.12,0.17
1.054,242.0,598.0,214.0,3.2813,5.93,2.79,0.19
0.553,255.0,1050.0,245.0,2.1618,5.18,4.29,0.2
0.828,239.0,671.0,208.0,2.7917,6.45,3.23,0.18
1.654,366.0,1072.0,345.0,3.8056,6.39,3.11,0.17
0.612,474.0,1435.0,425.0,1.3221,5.38,3.38,0.21
2.562,372.0,1111.0,393.0,7.5,6.56,2.83,0.14
1.225,784.0,2088.0,789.0,5.1781,6.13,2.65,0.16
1.603,335.0,1080.0,356.0,6.7181,7.2,3.03,0.13
1.416,427.0,1101.0,405.0,4.8036,6.17,2.72,0.17
0.893,253.0,675.0,223.0,4.7622,6.67,3.03,0.17
0.913,778.0,1691.0,712.0,3.3239,5.61,2.38,0.19
0.889,236.0,638.0,195.0,5.5842,7.11,3.27,0.17
1.193,274.0,887.0,286.0,5.5405,6.48,3.1,0.15
0.965,735.0,1730.0,654.0,4.2132,6.2,2.65,0.18
0.721,1070.0,1804.0,837.0,3.3942,5.41,2.16,0.24
1.078,341.0,969.0,330.0,4.6726,5.73,2.94,0.18
0.68,310.0,1011.0,325.0,3.755,5.36,3.11,0.18
0.888,324.0,1031.0,311.0,3.6563,6.03,3.32,0.17
0.73,914.0,2300.0,867.0,2.9565,4.82,2.65,0.22
0.679,516.0,1196.0,466.0,2.5595,5.44,2.57,0.2
3.459,487.0,1424.0,475.0,10.5144,7.98,3.0,0.13
2.139,304.0,840.0,305.0,8.9669,7.45,2.75,0.13
2.292,290.0,863.0,258.0,8.7716,9.29,3.34,0.12
1.959,298.0,700.0,263.0,6.8645,8.64,2.66,0.13
1.412,341.0,1128.0,363.0,6.9903,6.48,3.11,0.15
1.23,412.0,1408.0,423.0,5.3241,7.05,3.33,0.14
2.297,408.0,987.0,362.0,7.4201,8.32,2.73,0.14
1.447,376.0,1016.0,379.0,6.1175,7.57,2.68,0.13
1.677,376.0,996.0,353.0,5.5357,7.95,2.82,0.13
1.556,165.0,365.0,176.0,7.2909,6.18,2.07,0.15
1.515,336.0,752.0,330.0,5.2809,6.87,2.28,0.15
1.509,551.0,1149.0,500.0,5.0698,6.61,2.3,0.17
1.883,378.0,937.0,364.0,7.7062,7.66,2.57,0.14
1.873,363.0,1200.0,363.0,8.3608,7.99,3.31,0.13
1.935,544.0,1843.0,562.0,8.2737,7.36,3.28,0.13
1.236,234.0,711.0,248.0,5.9897,6.13,2.87,0.15
1.253,262.0,848.0,277.0,5.3886,6.95,3.06,0.14
1.244,412.0,891.0,378.0,3.2569,5.44,2.36,0.2
1.119,1075.0,2014.0,909.0,3.2147,5.4,2.22,0.22
0.795,166.0,292.0,164.0,2.8274,4.77,1.78,0.21
1.283,675.0,1604.0,626.0,4.2071,5.54,2.56,0.19
0.54,619.0,1765.0,539.0,1.9511,4.82,3.27,0.24
0.517,375.0,1543.0,395.0,1.7926,3.87,3.91,0.25
1.45,1201.0,2733.0,1045.0,3.7656,6.16,2.62,0.19
0.944,370.0,1174.0,396.0,4.2304,5.91,2.96,0.16
1.588,342.0,1077.0,354.0,5.4868,6.47,3.04,0.15
1.193,544.0,860.0,520.0,3.3229,4.5,1.65,0.23
1.26,1200.0,2325.0,1109.0,4.049,6.12,2.1,0.18
1.355,922.0,2712.0,883.0,5.6445,6.55,3.07,0.16
0.693,663.0,1328.0,604.0,2.3667,4.56,2.2,0.24
0.93,462.0,1215.0,467.0,3.2143,4.99,2.6,0.2
0.958,261.0,709.0,258.0,4.3315,6.05,2.75,0.17
0.722,694.0,1232.0,627.0,2.2215,5.35,1.96,0.21
1.052,819.0,1852.0,802.0,3.4167,5.43,2.31,0.19
0.535,1147.0,1929.0,971.0,1.7708,4.37,1.99,0.27
1.212,1005.0,2010.0,982.0,3.4542,5.48,2.05,0.19
1.433,594.0,1324.0,561.0,5.4513,7.08,2.36,0.15
1.693,288.0,725.0,308.0,6.3359,6.33,2.35,0.15
1.601,325.0,777.0,314.0,6.1575,7.17,2.47,0.14
0.901,681.0,1586.0,739.0,3.8571,5.08,2.15,0.18
0.995,256.0,528.0,250.0,2.9471,6.68,2.11,0.15
0.888,552.0,1242.0,540.0,3.5958,5.2,2.3,0.2
0.808,1200.0,3407.0,1134.0,3.125,5.38,3.0,0.2
0.727,506.0,1508.0,478.0,3.4074,5.96,3.15,0.18
0.669,776.0,1463.0,710.0,2.0469,4.57,2.06,0.24
0.656,363.0,1054.0,369.0,3.3272,5.07,2.86,0.19
0.662,357.0,933.0,357.0,2.5223,5.01,2.61,0.2
0.588,795.0,2764.0,773.0,1.3385,4.19,3.58,0.25
0.714,648.0,1820.0,614.0,3.3447,5.27,2.96,0.2
0.67,819.0,2098.0,774.0,1.9575,4.53,2.71,0.23
0.555,245.0,633.0,240.0,2.0324,4.22,2.64,0.24
0.797,313.0,660.0,298.0,3.0,5.54,2.21,0.19
0.692,313.0,761.0,318.0,2.6055,4.97,2.39,0.2
0.659,291.0,709.0,294.0,2.6522,5.01,2.41,0.2
0.647,1439.0,3415.0,1224.0,1.6854,4.76,2.79,0.25
0.738,443.0,954.0,457.0,2.9506,5.06,2.09,0.19
0.675,785.0,1806.0,783.0,1.9386,4.38,2.31,0.23
0.588,456.0,1131.0,408.0,2.03,4.69,2.77,0.24
0.965,431.0,874.0,380.0,3.5542,6.27,2.3,0.18
0.719,460.0,1118.0,431.0,2.4167,5.73,2.59,0.19
1.538,187.0,471.0,187.0,5.187,7.15,2.52,0.14
0.696,328.0,1155.0,353.0,3.069,5.32,3.27,0.17
0.665,493.0,1243.0,431.0,1.8514,5.1,2.88,0.22
1.247,484.0,852.0,449.0,3.32,5.48,1.9,0.2
1.322,261.0,494.0,254.0,4.25,5.75,1.94,0.18
0.896,460.0,1141.0,470.0,3.2642,5.7,2.43,0.17
0.734,456.0,959.0,463.0,2.3293,4.67,2.07,0.21
0.645,423.0,909.0,386.0,2.256,4.4,2.35,0.25
0.475,448.0,960.0,386.0,1.5122,3.95,2.49,0.29
0.683,440.0,966.0,413.0,2.9301,5.47,2.34,0.19
0.728,837.0,1976.0,830.0,2.1544,4.4,2.38,0.23
0.788,1330.0,2768.0,1224.0,2.1383,5.0,2.26,0.22
0.811,427.0,1076.0,423.0,2.9937,5.34,2.54,0.19
0.751,468.0,1261.0,486.0,3.3281,5.07,2.59,0.19
0.714,619.0,1614.0,592.0,2.1573,4.83,2.73,0.22
0.717,752.0,1981.0,712.0,2.293,4.57,2.78,0.23
0.709,662.0,1781.0,616.0,2.5893,5.67,2.89,0.19
0.846,665.0,1507.0,649.0,2.9244,5.33,2.32,0.19
0.66,623.0,1938.0,647.0,2.8994,5.3,3.0,0.18
0.837,1346.0,2795.0,1267.0,2.2094,4.94,2.21,0.22
0.831,770.0,1827.0,719.0,2.7222,5.21,2.54,0.21
0.743,2401.0,5466.0,2209.0,2.4678,4.92,2.47,0.22
0.906,504.0,1257.0,465.0,2.3333,5.85,2.7,0.19
0.745,662.0,1894.0,648.0,2.197,5.1,2.92,0.2
0.694,1429.0,4638.0,1335.0,1.2716,3.48,3.47,0.31
0.847,271.0,661.0,275.0,3.4279,5.69,2.4,0.17
0.993,1486.0,3056.0,1453.0,2.3375,4.77,2.1,0.21
0.855,302.0,663.0,282.0,3.567,6.07,2.35,0.18
0.895,963.0,2133.0,928.0,3.625,5.41,2.3,0.19
0.952,741.0,1817.0,681.0,4.2153,6.11,2.67,0.18
0.996,438.0,1234.0,457.0,4.5179,6.13,2.7,0.16
1.109,446.0,1360.0,463.0,5.2595,6.94,2.94,0.14
1.011,507.0,1378.0,510.0,4.7804,6.35,2.7,0.16
1.085,355.0,1034.0,359.0,5.0635,6.57,2.88,0.15
0.842,628.0,1888.0,601.0,4.0196,6.14,3.14,0.17
1.094,436.0,1411.0,441.0,4.9292,6.33,3.2,0.16
1.082,829.0,2235.0,787.0,4.1098,5.94,2.84,0.18
1.742,1143.0,2878.0,1077.0,5.3272,6.98,2.67,0.15
1.437,2244.0,5226.0,1972.0,5.0941,7.0,2.65,0.16
1.408,2121.0,4432.0,1778.0,3.9032,5.86,2.49,0.2
0.863,277.0,649.0,265.0,2.4861,5.47,2.45,0.19
1.652,315.0,992.0,312.0,6.9405,7.17,3.18,0.14
1.646,263.0,786.0,240.0,4.0,6.98,3.28,0.16
1.431,432.0,1081.0,379.0,4.5398,7.01,2.85,0.16
1.675,364.0,1280.0,386.0,5.308,6.15,3.32,0.15
0.714,756.0,1885.0,758.0,2.5904,4.66,2.49,0.21
0.682,540.0,1482.0,484.0,2.3173,4.92,3.06,0.23
0.68,528.0,1570.0,492.0,2.7159,5.33,3.19,0.2
1.134,338.0,623.0,362.0,1.8061,3.0,1.72,0.31
1.09,500.0,1228.0,436.0,3.5078,6.25,2.82,0.18
1.388,547.0,1959.0,580.0,5.3478,6.21,3.38,0.15
1.114,491.0,1584.0,493.0,5.0828,6.79,3.21,0.15
1.125,568.0,1320.0,566.0,2.3381,3.79,2.33,0.26
0.697,550.0,1034.0,500.0,1.6618,4.56,2.07,0.24
0.728,368.0,557.0,354.0,1.7969,4.66,1.57,0.22
0.722,305.0,780.0,309.0,2.9453,5.34,2.52,0.18
0.797,356.0,994.0,368.0,2.7778,4.62,2.7,0.21
1.125,613.0,1054.0,623.0,1.9483,4.22,1.69,0.23
0.525,239.0,550.0,246.0,2.2639,3.85,2.24,0.25
1.002,353.0,1040.0,362.0,3.9943,5.73,2.87,0.17
0.895,189.0,475.0,155.0,4.9327,6.08,3.06,0.2
0.546,226.0,726.0,224.0,1.4913,4.9,3.24,0.21
0.789,350.0,898.0,329.0,3.1814,5.68,2.73,0.19
1.113,336.0,1003.0,340.0,4.4356,5.97,2.95,0.17
1.137,334.0,1024.0,308.0,5.0864,6.96,3.32,0.16
1.2,344.0,1110.0,339.0,6.1133,7.24,3.27,0.14
1.233,376.0,1133.0,342.0,4.5577,7.54,3.31,0.15
1.144,216.0,622.0,199.0,4.9432,6.34,3.13,0.17
1.062,413.0,1356.0,435.0,5.0253,5.95,3.12,0.16
0.559,433.0,1207.0,384.0,1.8021,4.94,3.14,0.23
0.936,512.0,1687.0,505.0,4.81,6.54,3.34,0.16
0.889,454.0,1536.0,457.0,3.9792,5.84,3.36,0.17
0.938,366.0,994.0,370.0,2.5446,4.12,2.69,0.24
0.88,496.0,1634.0,501.0,4.4934,5.77,3.26,0.17
0.884,518.0,1748.0,498.0,4.2066,5.73,3.51,0.18
0.687,458.0,1306.0,418.0,3.2813,6.16,3.12,0.18
1.631,508.0,1632.0,474.0,6.011,7.83,3.44,0.14
0.836,313.0,993.0,314.0,3.7697,5.53,3.16,0.18
0.713,271.0,1010.0,292.0,3.5417,5.31,3.46,0.17
0.763,451.0,1207.0,424.0,2.7404,5.95,2.85,0.18
0.606,496.0,1720.0,417.0,2.6875,5.89,4.12,0.2
0.83,476.0,1490.0,481.0,4.0993,5.43,3.1,0.18
1.508,182.0,583.0,205.0,6.0132,6.15,2.84,0.14
1.573,353.0,1258.0,347.0,4.9904,6.91,3.63,0.15
1.738,656.0,2085.0,617.0,5.6739,7.9,3.38,0.13
1.487,189.0,517.0,187.0,4.526,7.04,2.76,0.14
1.547,614.0,1795.0,613.0,4.925,6.73,2.93,0.15
1.333,215.0,617.0,222.0,3.0833,6.03,2.78,0.16
1.369,479.0,1372.0,455.0,4.5625,6.2,3.02,0.17
1.567,863.0,2473.0,774.0,5.4895,7.93,3.2,0.14
1.265,548.0,1760.0,542.0,4.0227,5.95,3.25,0.17
1.306,193.0,621.0,190.0,4.5375,6.76,3.27,0.15
1.069,208.0,531.0,212.0,4.5938,5.14,2.5,0.19
0.995,460.0,1248.0,445.0,3.6161,5.64,2.8,0.18
0.73,392.0,1208.0,398.0,2.5741,4.93,3.04,0.2
0.599,374.0,1173.0,344.0,2.181,4.68,3.41,0.23
0.848,359.0,958.0,380.0,2.6458,4.36,2.52,0.22
0.729,354.0,899.0,337.0,2.6823,5.22,2.67,0.2
0.589,326.0,1135.0,315.0,2.1182,3.79,3.6,0.27
0.639,372.0,1371.0,347.0,2.3687,4.82,3.95,0.22
0.723,412.0,1248.0,410.0,3.1442,5.78,3.04,0.17
0.839,309.0,974.0,308.0,3.7261,5.72,3.16,0.18
0.581,215.0,812.0,225.0,1.9766,4.59,3.61,0.21
0.559,423.0,1519.0,406.0,1.7132,3.82,3.74,0.27
0.589,375.0,1665.0,357.0,2.2448,5.08,4.66,0.21
0.558,508.0,2052.0,518.0,1.9076,3.79,3.96,0.26
0.639,234.0,1135.0,218.0,2.1515,5.44,5.21,0.2
0.693,321.0,1120.0,314.0,2.59,5.84,3.57,0.18
1.601,589.0,1578.0,542.0,3.2917,6.18,2.91,0.18
1.153,332.0,945.0,292.0,3.4044,6.17,3.24,0.18
1.076,312.0,904.0,303.0,3.625,5.89,2.98,0.17
0.8,190.0,578.0,187.0,2.3618,5.07,3.09,0.2
0.938,296.0,977.0,290.0,3.5074,5.12,3.37,0.2
0.924,555.0,1564.0,507.0,2.3359,4.99,3.08,0.22
1.518,151.0,315.0,135.0,4.2679,6.39,2.33,0.17
1.118,794.0,2140.0,722.0,3.332,5.82,2.96,0.19
1.118,551.0,1467.0,509.0,3.1736,5.71,2.88,0.19
1.239,495.0,1184.0,429.0,3.9141,6.95,2.76,0.17
0.833,411.0,755.0,294.0,2.0,6.39,2.57,0.22
0.856,697.0,335.0,115.0,4.1838,26.45,2.91,0.23
0.94,472.0,1006.0,334.0,4.1563,6.75,3.01,0.21
1.027,477.0,773.0,288.0,3.3269,7.68,2.68,0.22
1.25,380.0,64.0,37.0,3.875,50.84,1.73,0.2
1.446,394.0,171.0,73.0,3.0729,26.04,2.34,0.21
1.792,651.0,276.0,107.0,5.1314,29.07,2.58,0.21
0.786,324.0,187.0,80.0,3.7857,20.2,2.34,0.2
0.944,405.0,975.0,340.0,2.6902,6.04,2.87,0.2
1.0,579.0,1385.0,512.0,2.2202,5.49,2.71,0.21
0.905,812.0,1905.0,671.0,2.2278,5.91,2.84,0.2
0.922,339.0,1148.0,332.0,2.6058,5.79,3.46,0.18
0.552,416.0,1834.0,432.0,1.6486,4.34,4.25,0.22
0.52,374.0,1544.0,329.0,1.7292,4.51,4.69,0.25
0.515,256.0,1070.0,243.0,1.5642,4.4,4.4,0.24
0.517,230.0,947.0,244.0,1.4481,3.41,3.88,0.28
0.658,296.0,1296.0,298.0,2.4219,4.98,4.35,0.2
0.692,608.0,2505.0,573.0,2.2863,4.11,4.37,0.26
0.725,184.0,579.0,171.0,2.0417,5.05,3.39,0.21
0.73,88.0,247.0,99.0,2.5,5.15,2.49,0.17
1.083,258.0,719.0,246.0,3.625,5.48,2.92,0.19
0.905,232.0,693.0,243.0,3.7917,5.36,2.85,0.18
0.916,280.0,775.0,246.0,3.9073,6.22,3.15,0.18
0.633,306.0,1266.0,309.0,1.767,4.44,4.1,0.22
0.676,236.0,761.0,241.0,2.825,4.78,3.16,0.2
0.609,489.0,1430.0,454.0,1.8975,5.05,3.15,0.21
0.567,330.0,1331.0,305.0,1.516,4.4,4.36,0.25
1.181,226.0,754.0,229.0,3.9844,6.13,3.29,0.16
0.661,342.0,1171.0,314.0,1.6875,5.57,3.73,0.2
0.635,239.0,879.0,257.0,2.5234,4.1,3.42,0.23
0.873,280.0,753.0,266.0,3.7813,5.36,2.83,0.2
0.842,215.0,572.0,202.0,3.825,6.31,2.83,0.17
0.571,448.0,1638.0,436.0,2.309,5.46,3.76,0.19
0.547,318.0,1474.0,326.0,1.4937,4.57,4.52,0.21
